iris|saison|energie_conso_mwh|energie_eco_mwh|taux_eco|nb_jours_eco|start_hc|end_hc|hour_array|flow_array|puissance_array
751134903|Hiver|62.6|6.0|9.5|35|00:17:00|05:24:00|17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9|18565,20490,19176,16448,12777,11394,9889,6493,4066,2387,1426,1205,2308,5454,13569,23379,20844|0, 21748, 21748, 21748, 21748, 21748, 21748, 21748, 15347, 15347, 15347, 15347, 15347, 21748, 21748, 21748, 0
751134903|Ete|62.6|6.0|9.5|35|00:17:00|05:24:00|17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9|20499,23853,23177,18491,13731,11823,12685,8689,4165,2314,1588,1836,2895,5824,14428,24412,22235|0, 0, 0, 0, 0, 0, 21748, 21748, 15347, 15347, 15347, 15347, 15347, 0, 0, 0, 0
751135028|Hiver|57.3|2.6|4.6|17|01:32:00|05:24:00|17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9|3943,3877,3859,3526,2715,2609,2494,2257,545,435,316,349,423,555,1432,2614,2809|0, 14886, 14886, 14886, 14886, 14886, 14886, 14886, 14886, 11164, 11164, 11164, 11164, 14886, 14886, 14886, 0
751135028|Ete|57.3|2.6|4.6|17|01:32:00|05:24:00|17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9|5163,4910,4926,4446,3820,2970,3007,2152,1365,868,383,416,387,861,1899,3929,3442|0, 0, 0, 0, 0, 0, 14886, 14886, 14886, 11164, 11164, 11164, 11164, 0, 0, 0, 0
751135207|Hiver|67.1|2.2|3.3|12|01:09:00|05:19:00|17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9|3125,3187,3349,2867,2294,1852,1609,1238,829,548,308,217,320,969,2077,3397,2682|0, 11696, 11696, 11696, 11696, 11696, 11696, 11696, 11696, 8749, 8749, 8749, 8749, 11696, 11696, 11696, 0
751135207|Ete|67.1|2.2|3.3|12|01:09:00|05:19:00|17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9|3889,4234,4114,3638,2856,2216,2400,1681,924,646,421,297,641,1392,2548,4496,4102|0, 0, 0, 0, 0, 0, 11696, 11696, 11696, 8749, 8749, 8749, 8749, 0, 0, 0, 0
751135124|Hiver|81.9|3.7|4.5|17|00:58:00|05:24:00|17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9|4208,5104,5674,3928,3712,3074,2445,2366,1063,744,435,436,295,1039,2487,4146,3705|0, 18300, 18300, 18300, 18300, 18300, 18300, 18300, 13698, 13698, 13698, 13698, 13698, 18300, 18300, 18300, 0
751135124|Ete|81.9|3.7|4.5|17|00:58:00|05:24:00|17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9|5493,5705,5648,5449,3979,3602,3471,2412,1212,770,488,416,407,1797,2657,4697,4855|0, 0, 0, 0, 0, 0, 18300, 18300, 13698, 13698, 13698, 13698, 13698, 0, 0, 0, 0
751135203|Hiver|60.2|3.1|5.2|19|00:23:00|05:24:00|17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9|9488,10372,9711,8288,6653,5544,4438,3352,1670,1092,888,601,1097,2388,5737,10447,8562|0, 13636, 13636, 13636, 13636, 13636, 13636, 13636, 10227, 10227, 10227, 10227, 10227, 13636, 13636, 13636, 0
751135203|Ete|60.2|3.1|5.2|19|00:23:00|05:24:00|17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9|8539,9490,8829,7530,5870,5070,5254,3657,1803,1060,699,674,1138,2346,5737,9514,8822|0, 0, 0, 0, 0, 0, 13636, 13636, 10227, 10227, 10227, 10227, 10227, 0, 0, 0, 0
